Person,step_count
A01,351518
A02,317873
A03,391302
A04,667043
A05,205815
A06,688864
A07,584462
A08,616758
A010,266725
A016,535526
A017,697669
A018,800509
A019,802587
A020,676258
A021,290324
A022,439406
A024,759414
A025,1083320
A026,1070291
A027,464660
A028,421421
A029,626306
A030,477748
A031,325301
A032,728916
A033,414915
A034,357887
A035,503583
A036,244243
A037,413353
A038,775284
A039,563457
A040,727438
A041,409936
A042,574088
A043,974336
A044,580578
A045,835907
A047,413737
A048,294072
A049,325833
A050,380282
A052,626213
A053,289223
A054,810861
A056,544578
A058,270693
A059,343124
A060,385730
A061,489414
A062,816567
A063,414915
A065,464660
A068,584932
A071,406062
A072,458095
A073,289141
A080,413353
A081,423731
A083,802587
A084,443310
A092,559912
A093,499193
A094,665433
A096,502283
A097,276376
